Date/Time,Environment:Site Sky Temperature [C](Hourly),Outdoor Air Drybulb Temperature [C],Outdoor Air Wetbulb Temperature [C],Outdoor Air Wind Speed [m/s],Outdoor Air Wind Direction [degree]
 01/02  01:00:00,-1.092291343,13.09105002,7.138008813,2.61495219,86.25
 01/02  02:00:00,-0.759950524,12.96605002,6.925485912,2.310001497,90
 01/02  03:00:00,-0.732376484,12.77855002,6.594972782,2.386239171,83.75
 01/02  04:00:00,-1.391069309,12.77855002,6.439208909,2.310001497,73.75
 01/02  05:00:00,-2.859306934,11.71605002,5.844803565,1.395149419,76.25
 01/02  06:00:00,-4.008913784,11.07855002,5.502809296,1.715347647,61.25
 01/02  07:00:00,-3.502782445,12.14105002,5.784465812,2.005050805,0
 01/02  08:00:00,-2.85620469,12.40355002,5.796364298,2.691189863,72.5
 01/02  09:00:00,-2.355706542,12.55355002,5.856375712,2.180397453,80
 01/02  10:00:00,-0.468732475,14.15355002,6.660956184,2.958021719,73.75
 01/02  11:00:00,0.78172459,15.66605002,7.409979518,3.971982773,63.75
 01/02  12:00:00,2.003484531,16.76605002,7.825707152,3.8957451,66.25
 01/02  13:00:00,2.771181768,17.17855002,7.679345068,4.162576956,70
 01/02  14:00:00,2.980848811,17.17855002,7.785887278,3.400200224,63.75
 01/02  15:00:00,3.709628696,17.86605002,8.235211558,3.224853576,66.25
 01/02  16:00:00,4.099761882,18.27855002,8.400632063,3.285843714,63.75
 01/02  17:00:00,3.580172522,17.96605002,8.37760806,3.171487204,60
 01/02  18:00:00,1.68085537,17.09105002,8.154744798,2.561585819,60
 01/02  19:00:00,0.459386412,16.30355002,7.928244159,2.805546373,60
 01/02  20:00:00,-0.107764467,15.01605002,7.417386455,2.752180002,72.5
 01/02  21:00:00,-1.171628849,14.06605002,6.975746881,2.50059568,80
 01/02  22:00:00,-2.776570335,12.81605002,6.361513351,2.119407314,86.25
 01/02  23:00:00,-3.444195202,12.17855002,6.041169064,1.509505929,90
 01/02  24:00:00,-3.584842907,11.86605002,6.136850414,1.471387092,83.75
 01/03  01:00:00,-3.810232475,11.67855002,5.98818572,1.395149419,92.5
 01/03  02:00:00,-4.891907269,11.30355002,5.76965149,1.05207989,100
 01/03  03:00:00,-4.211428928,11.07855002,5.577788354,1.334159281,93.75
 01/03  04:00:00,-3.024351034,11.07855002,5.498858432,0.594653851,33.75
 01/03  05:00:00,-3.332936406,10.39105002,5.458447759,0,0
 01/03  06:00:00,-4.093302407,9.978550021,5.420415255,0,0
 01/03  07:00:00,-4.91821636,9.978550021,5.234777629,0.571782549,56.25
 01/03  08:00:00,-4.974535854,10.35355002,5.368431356,0.343069529,33.75
 01/03  09:00:00,-3.255719871,11.57855002,5.990912029,0.571782549,62.5
 01/03  10:00:00,-0.686498965,13.92855002,7.033205884,2.325249032,87.5
 01/03  11:00:00,3.572303676,15.66605002,7.72151331,2.942774185,73.75
 01/03  12:00:00,3.462936458,16.76605002,8.189085708,2.805546373,82.5
 01/03  13:00:00,3.780964231,17.17855002,8.372480463,2.043169641,65
 01/03  14:00:00,5.484033504,17.55355002,8.543130688,1.966931968,62.5
 01/03  15:00:00,6.322483514,18.09105002,8.958000899,2.005050805,76.25
 01/03  16:00:00,5.405219507,18.27855002,9.146154622,0.709010361,30
 01/03  17:00:00,5.357126628,18.27855002,9.146154622,0.800495568,335
 01/03  18:00:00,5.229944848,17.59105002,8.928995586,1.661981275,295
 01/03  19:00:00,4.149526494,17.17855002,8.792889744,1.890694295,286.25
 01/03  20:00:00,4.202287648,16.17855002,8.56432846,1.509505929,271.25
 01/03  21:00:00,3.078852138,14.51605002,8.131911005,1.280792909,241.25
 01/03  22:00:00,0.340294908,14.19105002,7.822858448,1.280792909,273.75
 01/03  23:00:00,-3.012343431,12.69105002,7.333429564,1.280792909,243.75
 01/03  24:00:00,-4.347744934,11.99105002,6.828856866,1.05207989,241.25
 01/04  01:00:00,-4.91821636,11.49105002,6.471688077,0.914852078,291.25
 01/04  02:00:00,-5.547935362,10.76605002,6.071628822,0.914852078,285
 01/04  03:00:00,-6.009323803,10.20355002,5.85206865,0.343069529,236.25
 01/04  04:00:00,-6.765078181,9.291050021,5.63400391,0.571782549,75
 01/04  05:00:00,-6.968343694,8.191050021,5.138014162,1.524753464,113.75
 01/04  06:00:00,-7.6153964,7.778550021,4.903607673,1.700100112,91.25
 01/04  07:00:00,-8.50184015,7.403550021,4.727158384,1.585743602,80
 01/04  08:00:00,-8.769193954,7.178550021,4.464148304,0.594653851,30
 01/04  09:00:00,-7.588847485,8.241050021,5.206110479,0,0
 01/04  10:00:00,-5.5820885,10.25355002,6.367867008,0.800495568,297.5
 01/04  11:00:00,-4.23537984,11.76605002,7.062674702,1.05207989,238.75
 01/04  12:00:00,-2.915173073,13.24105002,7.770071029,0.914852078,282.5
 01/04  13:00:00,-0.956705371,15.25355002,8.701253858,1.143565098,242.5
 01/04  14:00:00,0.538826355,16.76605002,9.336255408,1.852575458,256.25
 01/04  15:00:00,1.47554963,17.86605002,9.746957236,3.377328922,260
 01/04  16:00:00,2.191663097,18.65355002,10.07464356,3.705150917,260
 01/04  17:00:00,4.116399741,18.87855002,9.99567456,3.285843714,253.75
 01/04  18:00:00,4.096299632,17.81605002,9.475892192,2.561585819,243.75
 01/04  19:00:00,2.822300885,16.49105002,8.878755535,0.82336687,225
 01/04  20:00:00,0.008710043,15.39105002,8.390600748,0.571782549,68.75
 01/04  21:00:00,-1.71922118,14.60355002,8.309500503,1.334159281,78.75
 01/04  22:00:00,-3.140955584,13.00355002,7.677410381,2.348120334,72.5
 01/04  23:00:00,-4.462411039,11.49105002,7.134383924,1.05207989,30
 01/04  24:00:00,-5.810312114,10.01605002,6.496658273,0.991089751,266.25
 01/05  01:00:00,-6.125045835,9.753550021,6.187114079,1.1664364,153.75
 01/05  02:00:00,-6.240917373,9.603550021,6.058404973,0.343069529,45
 01/05  03:00:00,-7.145603949,8.691050021,5.589953036,0,0
 01/05  04:00:00,-8.474129629,7.591050021,4.641799368,0.800495568,93.75
 01/05  05:00:00,-8.118130382,7.553550021,3.842193574,1.471387092,118.75
 01/05  06:00:00,-8.175865234,7.091050021,3.406388124,0.594653851,37.5
 01/05  07:00:00,-7.645662786,6.678550021,3.121379854,0,0
 01/05  08:00:00,-9.050842178,6.303550021,3.116694596,0,0
 01/05  09:00:00,-7.404987098,8.891050021,3.785164548,1.753466483,43.75
 01/05  10:00:00,-5.864672973,11.26605002,4.494934659,1.05207989,26.25
 01/05  11:00:00,-4.665985099,13.05355002,5.51823241,0.800495568,297.5
 01/05  12:00:00,-3.054085081,14.94105002,6.27384848,1.280792909,253.75
 01/05  13:00:00,-2.272153457,16.26605002,6.390589226,0.480297341,228.75
 01/05  14:00:00,-0.738299336,17.36605002,6.672728655,0.571782549,310
 01/05  15:00:00,-0.188730192,17.40355002,6.732984716,0.343069529,240
 01/05  16:00:00,0.18917647,17.17855002,6.650498367,1.372278117,291.25
 01/05  17:00:00,0.647733138,17.17855002,6.74315684,2.195644988,262.5
 01/05  18:00:00,-0.082316177,16.17855002,6.504918621,1.623862439,238.75
 01/05  19:00:00,-0.161936517,14.82855002,5.892248106,1.280792909,245
 01/05  20:00:00,-2.828619042,13.37855002,5.634829372,1.280792909,266.25
 01/05  21:00:00,-5.146993149,12.40355002,5.260540963,0.480297341,236.25
 01/05  22:00:00,-5.490151806,12.17855002,5.049388018,0,0
 01/05  23:00:00,-6.505380163,10.80355002,4.628355982,0,0
 01/05  24:00:00,-6.822554373,9.603550021,4.051882671,1.181683934,68.75
 01/06  01:00:00,-7.97351248,8.691050021,3.509077939,1.280792909,110
 01/06  02:00:00,-9.218417875,7.966050021,2.920715879,1.524753464,103.75
 01/06  03:00:00,-9.789488313,7.403550021,2.738526208,1.280792909,118.75
 01/06  04:00:00,-9.819434822,7.553550021,2.613678583,0.914852078,48.75
 01/06  05:00:00,-10.48792122,6.716050021,2.168072538,0.343069529,0
 01/06  06:00:00,-11.24996815,5.766050021,1.779188578,1.181683934,56.25
 01/06  07:00:00,-11.43393058,5.578550021,1.683290983,1.509505929,108.75
 01/06  08:00:00,-10.36825505,5.891050021,1.842667755,1.280792909,88.75
 01/06  09:00:00,-8.094891887,6.453550021,2.142355425,1.280792909,63.75
 01/06  10:00:00,-6.09928882,8.053550021,3.153462193,1.05207989,97.5
 01/06  11:00:00,-4.634433838,10.94105002,4.569615154,1.334159281,126.25
 01/06  12:00:00,-2.999986829,13.55355002,5.595567837,1.1664364,130
 01/06  13:00:00,-1.501001973,15.12855002,6.413538249,0.914852078,123.75
 01/06  14:00:00,0.212248393,16.26605002,6.932076677,0.343069529,45
 01/06  15:00:00,0.269574877,17.67855002,7.338599636,0,0
 01/06  16:00:00,-0.134302339,18.27855002,7.497795254,0.800495568,316.25
 01/06  17:00:00,0.135904067,18.65355002,7.737146174,1.471387092,252.5
 01/06  18:00:00,-0.516475097,17.81605002,7.391620392,1.395149419,255
 01/06  19:00:00,-1.831552021,16.17855002,6.869933711,1.280792909,257.5
 01/06  20:00:00,-3.025388411,14.51605002,6.462539711,0.480297341,228.75
 01/06  21:00:00,-3.024351034,13.19105002,6.375425068,0,0
 01/06  22:00:00,-4.184314031,12.09105002,6.088799348,0.571782549,278.75
 01/06  23:00:00,-5.462036555,11.30355002,5.527963971,0.343069529,221.25
 01/06  24:00:00,-6.299759325,10.39105002,5.085735219,0,0
 01/07  01:00:00,-7.085899511,9.603550021,4.63949928,0.991089751,56.25
 01/07  02:00:00,-7.349013203,9.378550021,4.577886457,1.585743602,77.5
 01/07  03:00:00,-7.643302431,9.066050021,4.51222967,1.395149419,88.75
 01/07  04:00:00,-8.264269406,8.503550021,3.944734896,1.05207989,100
 01/07  05:00:00,-8.234246099,7.591050021,3.58822411,1.334159281,100
 01/07  06:00:00,-8.800914686,7.178550021,3.535271221,1.1664364,93.75
 01/07  07:00:00,-7.91446569,7.178550021,3.642139533,1.715347647,102.5
 01/07  08:00:00,-7.999759859,6.866050021,3.541337624,2.195644988,91.25
 01/07  09:00:00,-8.382376415,7.678550021,3.871443609,2.005050805,86.25
 01/07  10:00:00,-5.68559903,10.40355002,4.991045158,1.700100112,102.5
 01/07  11:00:00,-2.861415989,13.05355002,6.144735395,1.395149419,85
 01/07  12:00:00,-0.200434174,15.62855002,7.579663877,0.480297341,26.25
 01/07  13:00:00,2.396275655,17.67855002,8.715474856,0,0
 01/07  14:00:00,4.302965209,19.34105002,9.471004808,0,0
 01/07  15:00:00,5.687650118,20.66605002,10.08944039,0.571782549,316.25
 01/07  16:00:00,6.272379899,21.76605002,10.76120259,1.143565098,271.25
 01/07  17:00:00,6.725623643,21.86605002,11.04187161,1.05207989,253.75
 01/07  18:00:00,5.42743339,20.61605002,10.52236137,0.343069529,228.75
 01/07  19:00:00,3.865340376,19.29105002,10.01420389,0,0
 01/07  20:00:00,3.215988462,17.81605002,9.663717105,0,0
 01/07  21:00:00,2.797248212,16.86605002,9.440420887,0.571782549,303.75
 01/07  22:00:00,1.310873845,15.24105002,8.761568232,0.343069529,236.25
 01/07  23:00:00,0.78172459,14.75355002,8.50784151,0,0
 01/07  24:00:00,0.539781283,13.91605002,8.26169454,0.800495568,62.5
 01/08  01:00:00,-0.516475097,12.96605002,7.719241514,1.471387092,100
 01/08  02:00:00,-2.389266815,12.09105002,7.093742945,1.1664364,118.75
 01/08  03:00:00,-2.800917977,11.99105002,7.091195013,0.343069529,48.75
 01/08  04:00:00,-4.387458493,11.17855002,6.673040607,0,0
 01/08  05:00:00,-5.778331007,10.20355002,6.247041421,0,0
 01/08  06:00:00,-6.240917373,9.603550021,6.050802689,0,0
 01/08  07:00:00,-6.705921508,9.066050021,5.800487105,0,0
 01/08  08:00:00,-7.026813087,8.878550021,5.591851972,0.991089751,43.75
 01/08  09:00:00,-5.102214592,10.94105002,6.626892577,1.395149419,82.5
 01/08  10:00:00,-2.225691839,13.92855002,8.104209095,1.661981275,90
 01/08  11:00:00,1.059363953,17.41605002,9.717523258,1.509505929,108.75
 01/08  12:00:00,9.138004431,20.62855002,11.11640635,0.480297341,45
 01/08  13:00:00,9.029866335,22.67855002,11.91727948,0.571782549,43.75
 01/08  14:00:00,8.164704471,25.02855002,12.67996092,0.343069529,26.25
 01/08  15:00:00,10.58577106,26.76605002,13.28560504,0,0
 01/08  16:00:00,11.09737256,26.86605002,13.26453169,0.571782549,0
 01/08  17:00:00,10.03359011,26.67855002,13.14092807,0.343069529,0
 01/08  18:00:00,7.916858303,24.55355002,12.88114707,0.571782549,278.75
 01/08  19:00:00,6.067573924,22.27855002,12.27764505,0.343069529,221.25
 01/08  20:00:00,4.8967286,20.99105002,11.74850048,0,0
 01/08  21:00:00,2.415109112,18.14105002,11.07946447,0.571782549,106.25
 01/08  22:00:00,0.888918785,16.67855002,10.20392288,1.143565098,138.75
 01/08  23:00:00,0.8623087,15.99105002,9.531091582,1.661981275,101.25
 01/08  24:00:00,0.133988905,14.82855002,8.850916303,2.081288478,90
 01/09  01:00:00,-0.623386372,14.06605002,8.399029887,2.195644988,96.25
 01/09  02:00:00,-0.786674259,13.87855002,8.435724266,2.386239171,100
 01/09  03:00:00,-1.197357778,13.50355002,8.214700562,2.310001497,106.25
 01/09  04:00:00,-2.134935649,12.59105002,7.736616418,2.195644988,91.25
 01/09  05:00:00,-2.272153457,11.86605002,7.22851122,2.195644988,111.25
 01/09  06:00:00,-0.468732475,13.05355002,7.614920356,2.195644988,130
 01/09  07:00:00,-0.572594591,12.81605002,7.440420789,2.195644988,117.5
 01/09  08:00:00,-2.331455764,11.86605002,7.07030774,2.005050805,97.5
 01/09  09:00:00,-1.207365818,13.05355002,7.687796689,2.081288478,90
 01/09  10:00:00,1.204112425,15.25355002,8.692916633,2.386239171,90
 01/09  11:00:00,2.925784253,17.14105002,9.440144544,2.310001497,96.25
 01/09  12:00:00,4.764402472,19.15355002,10.29322426,2.005050805,112.5
 01/09  13:00:00,6.671647665,20.66605002,10.94365281,1.700100112,113.75
 01/09  14:00:00,7.849864664,21.45355002,11.37083883,0.594653851,41.25
 01/09  15:00:00,8.764085847,21.99105002,11.635127,0.800495568,297.5
 01/09  16:00:00,8.764861634,22.17855002,11.701757,1.280792909,278.75
 01/09  17:00:00,8.543635054,21.86605002,12.01594092,1.05207989,252.5
 01/09  18:00:00,7.674183685,20.24105002,11.92167726,1.143565098,223.75
 01/09  19:00:00,6.649813075,19.37855002,11.44691339,1.05207989,263.75
 01/09  20:00:00,5.45788057,18.37855002,11.05447665,0.343069529,243.75
 01/09  21:00:00,5.051719639,17.09105002,10.77170514,0,0
 01/09  22:00:00,4.356092775,15.99105002,10.20275636,0.571782549,272.5
 01/09  23:00:00,4.920278357,15.89105002,9.619185114,0.343069529,217.5
 01/09  24:00:00,5.409405241,15.76605002,9.73830521,0.991089751,50
 01/10  01:00:00,5.587575471,15.89105002,9.933625558,0.594653851,30
 01/10  02:00:00,4.973039403,15.76605002,9.770558591,0.991089751,272.5
 01/10  03:00:00,4.125133519,15.20355002,9.513982071,1.395149419,138.75
 01/10  04:00:00,2.846345681,14.60355002,9.26127473,1.05207989,102.5
 01/10  05:00:00,1.421156051,14.06605002,8.906316732,1.90594183,103.75
 01/10  06:00:00,1.34280269,13.50355002,8.579670881,0.93772338,37.5
 01/10  07:00:00,2.766672082,13.65355002,8.648916964,1.5628723,353.75
 01/10  08:00:00,3.215988462,13.50355002,8.720447416,1.738218949,275
 01/10  09:00:00,3.190039336,13.96605002,8.995617815,1.280792909,255
 01/10  10:00:00,7.664703138,15.44105002,9.665417198,1.280792909,251.25
 01/10  11:00:00,10.90444564,16.76605002,10.09616018,1.280792909,221.25
 01/10  12:00:00,9.440962716,18.24105002,10.73340886,1.471387092,210
 01/10  13:00:00,6.844445902,19.56605002,11.10998735,1.395149419,216.25
 01/10  14:00:00,5.816508736,21.35355002,11.61480556,1.280792909,226.25
 01/10  15:00:00,5.740364611,22.17855002,11.886112,0.480297341,221.25
 01/10  16:00:00,9.073749263,22.86605002,12.36736335,0,0
 01/10  17:00:00,10.10567937,20.84105002,12.5182751,4.91732992,18.75
 01/10  18:00:00,11.44544635,18.00355002,12.5479511,5.88554837,55
 01/10  19:00:00,9.44423967,17.17855002,12.15848664,3.514556734,113.75
 01/10  20:00:00,5.781031588,16.49105002,11.75589002,1.623862439,77.5
 01/10  21:00:00,3.023874548,16.76605002,11.4931329,1.334159281,15
 01/10  22:00:00,0.124449917,15.11605002,10.89317293,1.395149419,266.25
 01/10  23:00:00,-0.732376484,15.25355002,9.375321055,1.661981275,103.75
 01/10  24:00:00,-0.841496651,15.76605002,8.388461128,1.280792909,27.5
 01/11  01:00:00,-2.389266815,13.82855002,7.844361526,1.524753464,311.25
 01/11  02:00:00,-3.079773381,13.46605002,7.141522234,2.081288478,276.25
 01/11  03:00:00,-4.411238866,12.12855002,6.581619716,0.82336687,240
 01/11  04:00:00,-4.548314117,12.14105002,6.397176896,0,0
 01/11  05:00:00,-4.404789931,12.40355002,6.324667926,0.800495568,31.25
 01/11  06:00:00,-3.727973747,12.86605002,6.885270131,1.05207989,43.75
 01/11  07:00:00,-4.209243934,12.27855002,6.735857485,0.343069529,15
 01/11  08:00:00,-3.39463188,13.05355002,7.102154547,1.982179503,37.5
 01/11  09:00:00,-1.175638548,15.62855002,8.122853589,4.124458119,53.75
 01/11  10:00:00,0.054552484,16.99105002,8.687623403,4.315052302,50
 01/11  11:00:00,1.498371,18.55355002,9.35182199,4.886834851,56.25
 01/11  12:00:00,3.394317496,20.44105002,10.17467585,3.994854075,53.75
 01/11  13:00:00,4.35781338,21.45355002,10.51764718,3.362081387,43.75
 01/11  14:00:00,4.897576373,22.36605002,10.52974263,3.285843714,65
 01/11  15:00:00,5.890821612,23.46605002,11.06668978,2.180397453,98.75
 01/11  16:00:00,5.968300332,23.50355002,11.1600919,1.1664364,91.25
 01/11  17:00:00,6.12025748,23.65355002,11.25227123,0.343069529,30
 01/11  18:00:00,4.942923627,22.12855002,10.83479838,0.800495568,272.5
 01/11  19:00:00,3.055852328,20.01605002,10.04976654,0.480297341,217.5
 01/11  20:00:00,1.76729829,18.69105002,9.495383644,0.571782549,285
 01/11  21:00:00,0.158304844,16.90355002,8.850315411,0.343069529,225
 01/11  22:00:00,-1.52930093,15.01605002,8.137819527,0,0
 01/11  23:00:00,-2.105663748,14.06605002,8.153882978,1.181683934,50
 01/11  24:00:00,-3.082893612,12.81605002,7.858233548,1.700100112,86.25
 01/12  01:00:00,-3.810232475,12.17855002,7.373437118,1.585743602,121.25
 01/12  02:00:00,-4.036189302,12.17855002,7.052003625,0.594653851,52.5
 01/12  03:00:00,-4.26271673,12.17855002,6.795228341,1.753466483,43.75
 01/12  04:00:00,-4.775051682,11.86605002,6.260199042,1.623862439,95
 01/12  05:00:00,-5.606312478,10.99105002,5.832937992,0.343069529,41.25
 01/12  06:00:00,-6.678287683,9.828550021,5.354461567,0.991089751,62.5
 01/12  07:00:00,-6.822554373,9.753550021,5.011336534,1.1664364,56.25
 01/12  08:00:00,-6.64737669,9.603550021,5.298048875,0.343069529,11.25
 01/12  09:00:00,-5.494614907,10.44105002,6.286319615,1.181683934,56.25
 01/12  10:00:00,-2.70346412,13.51605002,7.723450268,1.890694295,108.75
 01/12  11:00:00,-0.490088389,16.04105002,8.718099637,2.462476844,120
 01/12  12:00:00,1.285270544,18.05355002,9.39236546,1.05207989,45
 01/12  13:00:00,2.402656173,19.56605002,9.682680467,0,0
 01/12  14:00:00,3.552333591,21.04105002,10.00967316,0.571782549,0
 01/12  15:00:00,4.870490022,22.67855002,10.4584026,0.343069529,0
 01/12  16:00:00,4.691368517,22.59105002,10.19353932,0.571782549,310
 01/12  17:00:00,5.075455765,22.86605002,10.48090893,0.343069529,240
 01/12  18:00:00,4.379467548,21.90355002,10.38644066,0.571782549,285
 01/12  19:00:00,3.42464679,19.70355002,9.789994117,0.343069529,225
 01/12  20:00:00,2.875627781,18.50355002,9.40156936,0,0
 01/12  21:00:00,1.445180695,16.59105002,9.015979206,0.571782549,266.25
 01/12  22:00:00,-0.766794921,15.20355002,8.268651764,0.343069529,213.75
 01/12  23:00:00,-2.217471024,14.29105002,7.807342917,0.800495568,81.25
 01/12  24:00:00,-3.531740525,12.81605002,7.219038888,1.471387092,111.25
 01/13  01:00:00,-4.547224795,11.86605002,6.455242772,1.395149419,100
 01/13  02:00:00,-5.665284098,10.61605002,5.959447249,1.661981275,100
 01/13  03:00:00,-6.038029025,9.978550021,5.924711642,2.271882661,87.5
 01/13  04:00:00,-6.5321142,9.603550021,5.556929149,2.119407314,80
 01/13  05:00:00,-7.467662331,8.691050021,5.053926896,1.890694295,105
 01/13  06:00:00,-7.967610036,8.278550021,4.677536897,1.890694295,101.25
 01/13  07:00:00,-8.204380794,7.966050021,4.495362137,1.700100112,90
 01/13  08:00:00,-8.293258983,7.778550021,4.466039065,1.395149419,108.75
 01/13  09:00:00,-7.119175044,9.153550021,5.19276141,1.280792909,113.75
 01/13  10:00:00,-4.27789985,12.41605002,6.596360758,1.471387092,116.25
 01/13  11:00:00,-1.34295179,15.62855002,7.781051051,1.585743602,113.75
 01/13  12:00:00,0.32348332,17.36605002,8.639406088,1.395149419,116.25
 01/13  13:00:00,1.659729501,18.77855002,9.356167568,1.280792909,120
 01/13  14:00:00,2.481937012,19.75355002,9.655745973,1.280792909,226.25
 01/13  15:00:00,3.422874329,20.66605002,10.04686284,1.280792909,277.5
 01/13  16:00:00,3.502496964,21.07855002,9.82829124,1.471387092,282.5
 01/13  17:00:00,3.658549004,21.45355002,9.804182192,1.395149419,315
 01/13  18:00:00,2.71421095,20.24105002,9.541157285,0.480297341,258.75
 01/13  19:00:00,0.668746519,18.00355002,8.614415465,0,0
 01/13  20:00:00,-1.366403219,15.80355002,7.735894865,0,0
 01/13  21:00:00,-2.522401739,13.91605002,7.68646823,0,0
 01/13  22:00:00,-3.332936406,12.96605002,7.263667101,1.181683934,50
 01/13  23:00:00,-4.520609155,12.09105002,6.261868959,1.890694295,92.5
 01/13  24:00:00,-5.462036555,11.30355002,5.625577512,0.709010361,37.5
 01/14  01:00:00,-6.154351819,10.39105002,5.446691772,0.991089751,68.75
 01/14  02:00:00,-6.852094991,9.603550021,5.038337918,0.594653851,41.25
 01/14  03:00:00,-7.408026136,9.066050021,4.675505629,0.991089751,56.25
 01/14  04:00:00,-7.731471796,8.878550021,4.353266749,1.966931968,90
 01/14  05:00:00,-8.562533801,8.191050021,3.706601758,2.576833354,96.25
 01/14  06:00:00,-9.458579273,7.403550021,3.201481313,2.805546373,100
 01/14  07:00:00,-9.278398964,7.553550021,3.280834201,2.043169641,100
 01/14  08:00:00,-8.858794409,8.091050021,3.42989272,1.1664364,106.25
 01/14  09:00:00,-7.152622642,10.02855002,4.278508893,1.524753464,116.25
 01/14  10:00:00,-4.611774652,12.82855002,5.551987563,1.890694295,107.5
 01/14  11:00:00,-2.692001666,15.25355002,6.398452284,2.462476844,93.75
 01/14  12:00:00,-0.200434174,17.82855002,7.679687543,1.852575458,102.5
 01/14  13:00:00,1.607989641,19.56605002,8.656138562,1.05207989,78.75
 01/14  14:00:00,2.533884833,20.35355002,9.20341527,0.343069529,22.5
 01/14  15:00:00,3.501611526,21.26605002,9.74744147,0.800495568,56.25
 01/14  16:00:00,4.537043267,22.36605002,10.15302996,1.280792909,140
 01/14  17:00:00,4.537905799,22.40355002,10.15106276,0.480297341,63.75
 01/14  18:00:00,3.788011328,21.17855002,10.09520153,0,0
 01/14  19:00:00,2.558335065,18.82855002,9.181526401,0.800495568,278.75
 01/14  20:00:00,1.073576911,16.40355002,8.671401192,1.280792909,236.25
 01/14  21:00:00,0.243859428,15.57855002,8.247868972,1.05207989,265
 01/14  22:00:00,-0.871560189,14.51605002,7.519158465,1.524753464,110
 01/14  23:00:00,-1.996023641,13.50355002,6.857492481,1.700100112,86.25
 01/14  24:00:00,-2.050574631,12.59105002,6.256634271,1.585743602,90
 01/15  01:00:00,-1.609039864,11.86605002,6.119416425,2.157526151,83.75
 01/15  02:00:00,-1.71922118,11.30355002,5.740408667,2.691189863,80
 01/15  03:00:00,-3.708533581,10.76605002,5.363298915,2.61495219,80
 01/15  04:00:00,-5.376357345,10.20355002,4.79944255,2.310001497,80
 01/15  05:00:00,-5.146997542,9.978550021,4.50779582,2.386239171,80
 01/15  06:00:00,-4.802957837,9.603550021,4.209907707,2.50059568,80
 01/15  07:00:00,-4.518449773,9.753550021,4.20155796,2.310001497,80
 01/15  08:00:00,-4.347744934,9.978550021,4.304568728,1.395149419,92.5
 01/15  09:00:00,-3.363182183,10.66605002,4.578079267,1.715347647,81.25
 01/15  10:00:00,-1.667902264,12.45355002,5.636549016,1.623862439,82.5
 01/15  11:00:00,-0.86861275,13.96605002,6.451601991,1.471387092,96.25
 01/15  12:00:00,0.561230469,14.75355002,7.126604553,1.395149419,93.75
 01/15  13:00:00,2.816881613,16.04105002,8.050253155,1.471387092,77.5
 01/15  14:00:00,4.71496429,18.05355002,9.036783124,1.1664364,51.25
 01/15  15:00:00,5.714482346,19.19105002,9.714043299,0.343069529,15
 01/15  16:00:00,6.196401605,19.75355002,9.867304297,0,0
 01/15  17:00:00,6.600084802,20.35355002,9.889166689,0,0
 01/15  18:00:00,3.918317944,18.45355002,9.874434471,0.800495568,272.5
 01/15  19:00:00,3.135107943,16.86605002,9.342771695,1.05207989,245
 01/15  20:00:00,3.294014173,16.30355002,8.815886239,1.334159281,266.25
 01/15  21:00:00,2.665719142,16.07855002,8.565344788,1.1664364,251.25
 01/15  22:00:00,2.692264326,15.76605002,8.364063695,0.343069529,225
 01/15  23:00:00,1.657909343,14.51605002,7.927104428,0.991089751,68.75
